[13:52:20.939] [TX Transmit] Thread started (3 ch, interval=1 ms).
[13:52:25.368] [Ch3 TX] Round=183    |   1 msg(s) |   43 bytes
[13:52:25.376] [Ch3 TX] Round=184    |   1 msg(s) |   43 bytes
[13:52:25.384] [Ch3 TX] Round=185    |   1 msg(s) |   43 bytes
[13:52:25.390] [Ch3 TX] Round=186    |   1 msg(s) |   43 bytes
[13:52:25.399] [Ch3 TX] Round=187    |   1 msg(s) |   43 bytes
[13:52:25.407] [Ch3 TX] Round=188    |   1 msg(s) |   43 bytes
[13:52:25.411] [Ch2 TX] Round=6      |   1 msg(s) |   43 bytes
[13:52:25.415] [Ch3 TX] Round=189    |   1 msg(s) |   43 bytes
[13:52:25.424] [Ch3 TX] Round=190    |   1 msg(s) |   43 bytes
[13:52:25.432] [Ch3 TX] Round=191    |   1 msg(s) |   43 bytes
[13:52:25.441] [Ch3 TX] Round=192    |   1 msg(s) |   43 bytes
[13:52:25.449] [Ch3 TX] Round=193    |   1 msg(s) |   43 bytes
[13:52:25.457] [Ch3 TX] Round=194    |   1 msg(s) |   43 bytes
[13:52:25.463] [Ch3 TX] Round=195    |   1 msg(s) |   43 bytes
[13:52:25.471] [Ch3 TX] Round=196    |   1 msg(s) |   43 bytes
[13:52:25.479] [Ch3 TX] Round=197    |   1 msg(s) |   43 bytes
[13:52:25.489] [Ch3 TX] Round=198    |   1 msg(s) |   43 bytes
[13:52:25.495] [Ch3 TX] Round=199    |   1 msg(s) |   43 bytes
[13:52:25.504] [Ch3 TX] Round=200    |   1 msg(s) |   43 bytes
[13:52:25.512] [Ch3 TX] Round=201    |   1 msg(s) |   43 bytes
[13:52:25.518] [Ch3 TX] Round=202    |   1 msg(s) |   43 bytes
[13:52:25.528] [Ch3 TX] Round=203    |   1 msg(s) |   43 bytes
[13:52:25.536] [Ch3 TX] Round=204    |   1 msg(s) |   43 bytes
[13:52:25.542] [Ch3 TX] Round=205    |   1 msg(s) |   43 bytes
[13:52:25.552] [Ch3 TX] Round=206    |   1 msg(s) |   43 bytes
[13:52:25.558] [Ch3 TX] Round=207    |   1 msg(s) |   43 bytes
[13:52:25.568] [Ch3 TX] Round=208    |   1 msg(s) |   43 bytes
[13:52:25.574] [Ch3 TX] Round=209    |   1 msg(s) |   43 bytes
[13:52:25.584] [Ch3 TX] Round=210    |   1 msg(s) |   43 bytes
[13:52:25.592] [Ch3 TX] Round=211    |   1 msg(s) |   43 bytes
[13:52:25.600] [Ch3 TX] Round=212    |   1 msg(s) |   43 bytes
[13:52:25.608] [Ch3 TX] Round=213    |   1 msg(s) |   43 bytes
[13:52:25.616] [Ch3 TX] Round=214    |   1 msg(s) |   43 bytes
[13:52:25.624] [Ch3 TX] Round=215    |   1 msg(s) |   43 bytes
[13:52:25.632] [Ch3 TX] Round=216    |   1 msg(s) |   43 bytes
[13:52:25.640] [Ch3 TX] Round=217    |   1 msg(s) |   43 bytes
[13:52:25.648] [Ch3 TX] Round=218    |   1 msg(s) |   43 bytes
[13:52:25.654] [Ch3 TX] Round=219    |   1 msg(s) |   43 bytes
[13:52:25.662] [Ch3 TX] Round=220    |   1 msg(s) |   43 bytes
[13:52:25.672] [Ch3 TX] Round=221    |   1 msg(s) |   43 bytes
[13:52:25.680] [Ch3 TX] Round=222    |   1 msg(s) |   43 bytes
[13:52:25.686] [Ch3 TX] Round=223    |   1 msg(s) |   43 bytes
[13:52:25.694] [Ch3 TX] Round=224    |   1 msg(s) |   43 bytes
[13:52:25.703] [Ch3 TX] Round=225    |   1 msg(s) |   43 bytes
[13:52:25.711] [Ch2 TX] Round=7      |   1 msg(s) |   43 bytes
[13:52:25.711] [Ch3 TX] Round=226    |   1 msg(s) |   43 bytes
[13:52:25.719] [Ch3 TX] Round=227    |   1 msg(s) |   43 bytes
[13:52:25.729] [Ch3 TX] Round=228    |   1 msg(s) |   43 bytes
[13:52:25.737] [Ch3 TX] Round=229    |   1 msg(s) |   43 bytes
[13:52:25.745] [Ch3 TX] Round=230    |   1 msg(s) |   43 bytes
[13:52:25.751] [Ch3 TX] Round=231    |   1 msg(s) |   43 bytes
[13:52:25.759] [Ch3 TX] Round=232    |   1 msg(s) |   43 bytes
[13:52:25.767] [Ch3 TX] Round=233    |   1 msg(s) |   43 bytes
[13:52:25.775] [Ch3 TX] Round=234    |   1 msg(s) |   43 bytes
[13:52:25.783] [Ch3 TX] Round=235    |   1 msg(s) |   43 bytes
[13:52:25.791] [Ch3 TX] Round=236    |   1 msg(s) |   43 bytes
[13:52:25.799] [Ch3 TX] Round=237    |   1 msg(s) |   43 bytes
[13:52:25.807] [Ch3 TX] Round=238    |   1 msg(s) |   43 bytes
[13:52:25.814] [Ch3 TX] Round=239    |   1 msg(s) |   43 bytes
[13:52:25.825] [Ch3 TX] Round=240    |   1 msg(s) |   43 bytes
[13:52:25.833] [Ch3 TX] Round=241    |   1 msg(s) |   43 bytes
[13:52:25.841] [Ch3 TX] Round=242    |   1 msg(s) |   43 bytes
[13:52:25.847] [Ch3 TX] Round=243    |   1 msg(s) |   43 bytes
[13:52:25.857] [Ch3 TX] Round=244    |   1 msg(s) |   43 bytes
[13:52:25.865] [Ch3 TX] Round=245    |   1 msg(s) |   43 bytes
[13:52:25.873] [Ch3 TX] Round=246    |   1 msg(s) |   43 bytes
[13:52:25.879] [Ch3 TX] Round=247    |   1 msg(s) |   43 bytes
[13:52:25.889] [Ch3 TX] Round=248    |   1 msg(s) |   43 bytes
[13:52:25.897] [Ch3 TX] Round=249    |   1 msg(s) |   43 bytes
[13:52:25.905] [Ch3 TX] Round=250    |   1 msg(s) |   43 bytes
[13:52:25.909] [Ch1 TX] Round=3      |   8 msg(s) |  230 bytes
[13:52:25.913] [Ch3 TX] Round=251    |   1 msg(s) |   43 bytes
[13:52:25.921] [Ch1 TX] Round=4      |   1 msg(s) |   19 bytes
[13:52:25.921] [Ch3 TX] Round=252    |   1 msg(s) |   43 bytes
[13:52:25.928] [Ch3 TX] Round=253    |   1 msg(s) |   43 bytes
[13:52:25.936] [Ch3 TX] Round=254    |   1 msg(s) |   43 bytes
[13:52:25.944] [Ch3 TX] Round=255    |   1 msg(s) |   43 bytes
[13:52:25.952] [Ch3 TX] Round=256    |   1 msg(s) |   43 bytes
[13:52:25.958] [Ch3 TX] Round=257    |   1 msg(s) |   43 bytes
[13:52:25.966] [Ch3 TX] Round=258    |   1 msg(s) |   43 bytes
[13:52:25.974] [Ch3 TX] Round=259    |   1 msg(s) |   43 bytes
[13:52:25.985] [Ch3 TX] Round=260    |   1 msg(s) |   43 bytes
[13:52:25.991] [Ch3 TX] Round=261    |   1 msg(s) |   43 bytes
[13:52:26.001] [Ch3 TX] Round=262    |   1 msg(s) |   43 bytes
[13:52:26.009] [Ch2 TX] Round=8      |   1 msg(s) |   43 bytes
[13:52:26.009] [Ch3 TX] Round=263    |   1 msg(s) |   43 bytes
[13:52:26.017] [Ch3 TX] Round=264    |   1 msg(s) |   43 bytes
[13:52:26.025] [Ch3 TX] Round=265    |   1 msg(s) |   43 bytes
[13:52:26.033] [Ch3 TX] Round=266    |   1 msg(s) |   43 bytes
[13:52:26.041] [Ch3 TX] Round=267    |   1 msg(s) |   43 bytes
[13:52:26.049] [Ch3 TX] Round=268    |   1 msg(s) |   43 bytes
[13:52:26.057] [Ch3 TX] Round=269    |   1 msg(s) |   43 bytes
[13:52:26.065] [Ch3 TX] Round=270    |   1 msg(s) |   43 bytes
[13:52:26.071] [Ch3 TX] Round=271    |   1 msg(s) |   43 bytes
[13:52:26.079] [Ch3 TX] Round=272    |   1 msg(s) |   43 bytes
[13:52:26.089] [Ch3 TX] Round=273    |   1 msg(s) |   43 bytes
[13:52:26.097] [Ch3 TX] Round=274    |   1 msg(s) |   43 bytes
[13:52:26.104] [Ch3 TX] Round=275    |   1 msg(s) |   43 bytes
[13:52:26.112] [Ch3 TX] Round=276    |   1 msg(s) |   43 bytes
[13:52:26.122] [Ch3 TX] Round=277    |   1 msg(s) |   43 bytes
[13:52:26.130] [Ch3 TX] Round=278    |   1 msg(s) |   43 bytes
[13:52:26.138] [Ch3 TX] Round=279    |   1 msg(s) |   43 bytes
[13:52:26.146] [Ch3 TX] Round=280    |   1 msg(s) |   43 bytes
[13:52:26.154] [Ch3 TX] Round=281    |   1 msg(s) |   43 bytes
[13:52:26.162] [Ch3 TX] Round=282    |   1 msg(s) |   43 bytes
[13:52:26.170] [Ch3 TX] Round=283    |   1 msg(s) |   43 bytes
[13:52:26.178] [Ch3 TX] Round=284    |   1 msg(s) |   43 bytes
[13:52:26.184] [Ch3 TX] Round=285    |   1 msg(s) |   43 bytes
[13:52:26.192] [Ch3 TX] Round=286    |   1 msg(s) |   43 bytes
[13:52:26.200] [Ch3 TX] Round=287    |   1 msg(s) |   43 bytes
[13:52:26.208] [Ch3 TX] Round=288    |   1 msg(s) |   43 bytes
[13:52:26.216] [Ch3 TX] Round=289    |   1 msg(s) |   43 bytes
[13:52:26.224] [Ch3 TX] Round=290    |   1 msg(s) |   43 bytes
[13:52:26.232] [Ch3 TX] Round=291    |   1 msg(s) |   43 bytes
[13:52:26.240] [Ch3 TX] Round=292    |   1 msg(s) |   43 bytes
[13:52:26.248] [Ch3 TX] Round=293    |   1 msg(s) |   43 bytes
[13:52:26.256] [Ch3 TX] Round=294    |   1 msg(s) |   43 bytes
[13:52:26.264] [Ch3 TX] Round=295    |   1 msg(s) |   43 bytes
[13:52:26.270] [Ch3 TX] Round=296    |   1 msg(s) |   43 bytes
[13:52:26.280] [Ch3 TX] Round=297    |   1 msg(s) |   43 bytes
[13:52:26.287] [Ch3 TX] Round=298    |   1 msg(s) |   43 bytes
[13:52:26.295] [Ch3 TX] Round=299    |   1 msg(s) |   43 bytes
[13:52:26.305] [Ch3 TX] Round=300    |   1 msg(s) |   43 bytes
[13:52:26.309] [Ch2 TX] Round=9      |   1 msg(s) |   43 bytes
[13:52:26.313] [Ch3 TX] Round=301    |   1 msg(s) |   43 bytes
[13:52:26.319] [Ch3 TX] Round=302    |   1 msg(s) |   43 bytes
[13:52:26.327] [Ch3 TX] Round=303    |   1 msg(s) |   43 bytes
[13:52:26.335] [Ch3 TX] Round=304    |   1 msg(s) |   43 bytes
[13:52:26.343] [Ch3 TX] Round=305    |   1 msg(s) |   43 bytes
[13:52:26.351] [Ch3 TX] Round=306    |   1 msg(s) |   43 bytes
[13:52:26.361] [Ch3 TX] Round=307    |   1 msg(s) |   43 bytes
[13:52:26.369] [Ch3 TX] Round=308    |   1 msg(s) |   43 bytes
[13:52:26.377] [Ch3 TX] Round=309    |   1 msg(s) |   43 bytes
[13:52:26.385] [Ch3 TX] Round=310    |   1 msg(s) |   43 bytes
[13:52:26.393] [Ch3 TX] Round=311    |   1 msg(s) |   43 bytes
[13:52:26.399] [Ch3 TX] Round=312    |   1 msg(s) |   43 bytes
[13:52:26.408] [Ch3 TX] Round=313    |   1 msg(s) |   43 bytes
[13:52:26.418] [Ch3 TX] Round=314    |   1 msg(s) |   43 bytes
[13:52:26.424] [Ch3 TX] Round=315    |   1 msg(s) |   43 bytes
[13:52:26.432] [Ch3 TX] Round=316    |   1 msg(s) |   43 bytes
[13:52:26.440] [Ch3 TX] Round=317    |   1 msg(s) |   43 bytes
[13:52:26.449] [Ch3 TX] Round=318    |   1 msg(s) |   43 bytes
[13:52:26.457] [Ch3 TX] Round=319    |   1 msg(s) |   43 bytes
[13:52:26.465] [Ch3 TX] Round=320    |   1 msg(s) |   43 bytes
[13:52:26.471] [Ch3 TX] Round=321    |   1 msg(s) |   43 bytes
[13:52:26.479] [Ch3 TX] Round=322    |   1 msg(s) |   43 bytes
[13:52:26.487] [Ch3 TX] Round=323    |   1 msg(s) |   43 bytes
[13:52:26.495] [Ch3 TX] Round=324    |   1 msg(s) |   43 bytes
[13:52:26.503] [Ch3 TX] Round=325    |   1 msg(s) |   43 bytes
[13:52:26.511] [Ch3 TX] Round=326    |   1 msg(s) |   43 bytes
[13:52:26.519] [Ch3 TX] Round=327    |   1 msg(s) |   43 bytes
[13:52:26.527] [Ch3 TX] Round=328    |   1 msg(s) |   43 bytes
[13:52:26.537] [Ch3 TX] Round=329    |   1 msg(s) |   43 bytes
[13:52:26.543] [Ch3 TX] Round=330    |   1 msg(s) |   43 bytes
[13:52:26.553] [Ch3 TX] Round=331    |   1 msg(s) |   43 bytes
[13:52:26.559] [Ch3 TX] Round=332    |   1 msg(s) |   43 bytes
[13:52:26.567] [Ch3 TX] Round=333    |   1 msg(s) |   43 bytes
